timestamp,level,data source
2022-06-15T11:50:00Z,SEDENTARY,Fitbit App
2022-06-15T11:51:00Z,SEDENTARY,Fitbit App
2022-06-15T11:52:00Z,SEDENTARY,Fitbit App
2022-06-15T11:53:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T11:54:00Z,SEDENTARY,Fitbit App
2022-06-15T11:55:00Z,SEDENTARY,Fitbit App
2022-06-15T11:56:00Z,SEDENTARY,Fitbit App
2022-06-15T11:57:00Z,SEDENTARY,Fitbit App
2022-06-15T11:58:00Z,SEDENTARY,Fitbit App
2022-06-15T11:59:00Z,SEDENTARY,Fitbit App
2022-06-15T12:00:00Z,SEDENTARY,Fitbit App
2022-06-15T12:01:00Z,SEDENTARY,Fitbit App
2022-06-15T12:02:00Z,SEDENTARY,Fitbit App
2022-06-15T12:03:00Z,SEDENTARY,Fitbit App
2022-06-15T12:04:00Z,SEDENTARY,Fitbit App
2022-06-15T12:05:00Z,SEDENTARY,Fitbit App
2022-06-15T12:06:00Z,SEDENTARY,Fitbit App
2022-06-15T12:07:00Z,SEDENTARY,Fitbit App
2022-06-15T12:08:00Z,SEDENTARY,Fitbit App
2022-06-15T12:09:00Z,SEDENTARY,Fitbit App
2022-06-15T12:10:00Z,SEDENTARY,Fitbit App
2022-06-15T12:11:00Z,SEDENTARY,Fitbit App
2022-06-15T12:12:00Z,SEDENTARY,Fitbit App
2022-06-15T12:13:00Z,SEDENTARY,Fitbit App
2022-06-15T12:14:00Z,SEDENTARY,Fitbit App
2022-06-15T12:15:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T12:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T12:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T12:18:00Z,SEDENTARY,Fitbit App
2022-06-15T12:19:00Z,SEDENTARY,Fitbit App
2022-06-15T12:20:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T12:21:00Z,SEDENTARY,Fitbit App
2022-06-15T12:22:00Z,SEDENTARY,Fitbit App
2022-06-15T12:23:00Z,SEDENTARY,Fitbit App
2022-06-15T12:24:00Z,SEDENTARY,Fitbit App
2022-06-15T12:25:00Z,SEDENTARY,Fitbit App
2022-06-15T12:26:00Z,SEDENTARY,Fitbit App
2022-06-15T12:27:00Z,SEDENTARY,Fitbit App
2022-06-15T12:28:00Z,SEDENTARY,Fitbit App
2022-06-15T12:29:00Z,SEDENTARY,Fitbit App
2022-06-15T12:30:00Z,SEDENTARY,Fitbit App
2022-06-15T12:31:00Z,SEDENTARY,Fitbit App
2022-06-15T12:32:00Z,SEDENTARY,Fitbit App
2022-06-15T12:33:00Z,SEDENTARY,Fitbit App
2022-06-15T12:34:00Z,SEDENTARY,Fitbit App
2022-06-15T12:35:00Z,SEDENTARY,Fitbit App
2022-06-15T12:36:00Z,SEDENTARY,Fitbit App
2022-06-15T12:37:00Z,SEDENTARY,Fitbit App
2022-06-15T12:38:00Z,SEDENTARY,Fitbit App
2022-06-15T12:39:00Z,SEDENTARY,Fitbit App
2022-06-15T12:40:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T12:41:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T12:42:00Z,SEDENTARY,Fitbit App
2022-06-15T12:43:00Z,SEDENTARY,Fitbit App
2022-06-15T12:44:00Z,SEDENTARY,Fitbit App
2022-06-15T12:45:00Z,SEDENTARY,Fitbit App
2022-06-15T12:46:00Z,SEDENTARY,Fitbit App
2022-06-15T12:47:00Z,SEDENTARY,Fitbit App
2022-06-15T12:48:00Z,SEDENTARY,Fitbit App
2022-06-15T12:49:00Z,SEDENTARY,Fitbit App
2022-06-15T12:50:00Z,SEDENTARY,Fitbit App
2022-06-15T12:51:00Z,SEDENTARY,Fitbit App
2022-06-15T12:52:00Z,SEDENTARY,Fitbit App
2022-06-15T12:53:00Z,SEDENTARY,Fitbit App
2022-06-15T12:54:00Z,SEDENTARY,Fitbit App
2022-06-15T12:56:00Z,SEDENTARY,Fitbit App
2022-06-15T12:57:00Z,SEDENTARY,Fitbit App
2022-06-15T12:58:00Z,SEDENTARY,Fitbit App
2022-06-15T12:59:00Z,SEDENTARY,Fitbit App
2022-06-15T13:00:00Z,SEDENTARY,Fitbit App
2022-06-15T13:01:00Z,SEDENTARY,Fitbit App
2022-06-15T13:02:00Z,SEDENTARY,Fitbit App
2022-06-15T13:03:00Z,SEDENTARY,Fitbit App
2022-06-15T13:04:00Z,SEDENTARY,Fitbit App
2022-06-15T13:05:00Z,SEDENTARY,Fitbit App
2022-06-15T13:06:00Z,SEDENTARY,Fitbit App
2022-06-15T13:07:00Z,SEDENTARY,Fitbit App
2022-06-15T13:08:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T13:09:00Z,SEDENTARY,Fitbit App
2022-06-15T13:10:00Z,SEDENTARY,Fitbit App
2022-06-15T13:11:00Z,SEDENTARY,Fitbit App
2022-06-15T13:12:00Z,SEDENTARY,Fitbit App
2022-06-15T13:13:00Z,SEDENTARY,Fitbit App
2022-06-15T13:14:00Z,SEDENTARY,Fitbit App
2022-06-15T13:15:00Z,SEDENTARY,Fitbit App
2022-06-15T13:16:00Z,SEDENTARY,Fitbit App
2022-06-15T13:17:00Z,SEDENTARY,Fitbit App
2022-06-15T13:18:00Z,SEDENTARY,Fitbit App
2022-06-15T13:19:00Z,SEDENTARY,Fitbit App
2022-06-15T13:20:00Z,SEDENTARY,Fitbit App
2022-06-15T13:21:00Z,SEDENTARY,Fitbit App
2022-06-15T13:22:00Z,SEDENTARY,Fitbit App
2022-06-15T13:23:00Z,SEDENTARY,Fitbit App
2022-06-15T13:24:00Z,SEDENTARY,Fitbit App
2022-06-15T13:25:00Z,SEDENTARY,Fitbit App
2022-06-15T13:26:00Z,SEDENTARY,Fitbit App
2022-06-15T13:27:00Z,SEDENTARY,Fitbit App
2022-06-15T13:28:00Z,SEDENTARY,Fitbit App
2022-06-15T13:29:00Z,SEDENTARY,Fitbit App
2022-06-15T13:30:00Z,SEDENTARY,Fitbit App
2022-06-15T13:31:00Z,SEDENTARY,Fitbit App
2022-06-15T13:32:00Z,SEDENTARY,Fitbit App
2022-06-15T13:33:00Z,SEDENTARY,Fitbit App
2022-06-15T13:34:00Z,SEDENTARY,Fitbit App
2022-06-15T13:36:00Z,SEDENTARY,Fitbit App
2022-06-15T13:37:00Z,SEDENTARY,Fitbit App
2022-06-15T13:38:00Z,SEDENTARY,Fitbit App
2022-06-15T13:39:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T13:40:00Z,SEDENTARY,Fitbit App
2022-06-15T13:41:00Z,SEDENTARY,Fitbit App
2022-06-15T13:42:00Z,SEDENTARY,Fitbit App
2022-06-15T13:46:00Z,SEDENTARY,Fitbit App
2022-06-15T13:47:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T13:48:00Z,SEDENTARY,Fitbit App
2022-06-15T13:49:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T13:50:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T13:51:00Z,SEDENTARY,Fitbit App
2022-06-15T13:52:00Z,SEDENTARY,Fitbit App
2022-06-15T13:53:00Z,SEDENTARY,Fitbit App
2022-06-15T13:54:00Z,SEDENTARY,Fitbit App
2022-06-15T13:55:00Z,SEDENTARY,Fitbit App
2022-06-15T13:56:00Z,SEDENTARY,Fitbit App
2022-06-15T13:57:00Z,SEDENTARY,Fitbit App
2022-06-15T13:58:00Z,SEDENTARY,Fitbit App
2022-06-15T13:59:00Z,SEDENTARY,Fitbit App
2022-06-15T14:00:00Z,SEDENTARY,Fitbit App
2022-06-15T14:01:00Z,SEDENTARY,Fitbit App
2022-06-15T14:02:00Z,SEDENTARY,Fitbit App
2022-06-15T14:03:00Z,SEDENTARY,Fitbit App
2022-06-15T14:04:00Z,SEDENTARY,Fitbit App
2022-06-15T14:05:00Z,SEDENTARY,Fitbit App
2022-06-15T14:06:00Z,SEDENTARY,Fitbit App
2022-06-15T14:07:00Z,SEDENTARY,Fitbit App
2022-06-15T14:08:00Z,SEDENTARY,Fitbit App
2022-06-15T14:09:00Z,SEDENTARY,Fitbit App
2022-06-15T14:10:00Z,SEDENTARY,Fitbit App
2022-06-15T14:11:00Z,SEDENTARY,Fitbit App
2022-06-15T14:12:00Z,SEDENTARY,Fitbit App
2022-06-15T14:13:00Z,SEDENTARY,Fitbit App
2022-06-15T14:14:00Z,SEDENTARY,Fitbit App
2022-06-15T14:15:00Z,SEDENTARY,Fitbit App
2022-06-15T14:16:00Z,SEDENTARY,Fitbit App
2022-06-15T14:17:00Z,SEDENTARY,Fitbit App
2022-06-15T14:18:00Z,SEDENTARY,Fitbit App
2022-06-15T14:19:00Z,SEDENTARY,Fitbit App
2022-06-15T14:20:00Z,SEDENTARY,Fitbit App
2022-06-15T14:21:00Z,SEDENTARY,Fitbit App
2022-06-15T14:22:00Z,SEDENTARY,Fitbit App
2022-06-15T14:23:00Z,SEDENTARY,Fitbit App
2022-06-15T14:24:00Z,SEDENTARY,Fitbit App
2022-06-15T14:25:00Z,SEDENTARY,Fitbit App
2022-06-15T14:26:00Z,SEDENTARY,Fitbit App
2022-06-15T14:27:00Z,SEDENTARY,Fitbit App
2022-06-15T14:28:00Z,SEDENTARY,Fitbit App
2022-06-15T14:29:00Z,SEDENTARY,Fitbit App
2022-06-15T14:30:00Z,SEDENTARY,Fitbit App
2022-06-15T14:31:00Z,SEDENTARY,Fitbit App
2022-06-15T14:32:00Z,SEDENTARY,Fitbit App
2022-06-15T14:33:00Z,SEDENTARY,Fitbit App
2022-06-15T14:35:00Z,SEDENTARY,Fitbit App
2022-06-15T14:36:00Z,SEDENTARY,Fitbit App
2022-06-15T14:37:00Z,SEDENTARY,Fitbit App
2022-06-15T14:38:00Z,SEDENTARY,Fitbit App
2022-06-15T14:39:00Z,SEDENTARY,Fitbit App
2022-06-15T14:40:00Z,SEDENTARY,Fitbit App
2022-06-15T14:41:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T14:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T14:43:00Z,SEDENTARY,Fitbit App
2022-06-15T14:44:00Z,SEDENTARY,Fitbit App
2022-06-15T14:45:00Z,SEDENTARY,Fitbit App
2022-06-15T14:46:00Z,SEDENTARY,Fitbit App
2022-06-15T14:47:00Z,SEDENTARY,Fitbit App
2022-06-15T14:48:00Z,SEDENTARY,Fitbit App
2022-06-15T14:50:00Z,SEDENTARY,Fitbit App
2022-06-15T14:51:00Z,SEDENTARY,Fitbit App
2022-06-15T14:53:00Z,SEDENTARY,Fitbit App
2022-06-15T14:54:00Z,SEDENTARY,Fitbit App
2022-06-15T14:55:00Z,SEDENTARY,Fitbit App
2022-06-15T14:56:00Z,SEDENTARY,Fitbit App
2022-06-15T14:57:00Z,SEDENTARY,Fitbit App
2022-06-15T14:58:00Z,SEDENTARY,Fitbit App
2022-06-15T14:59:00Z,SEDENTARY,Fitbit App
2022-06-15T15:02:00Z,SEDENTARY,Fitbit App
2022-06-15T15:03:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T15:04:00Z,SEDENTARY,Fitbit App
2022-06-15T15:05:00Z,SEDENTARY,Fitbit App
2022-06-15T15:06:00Z,SEDENTARY,Fitbit App
2022-06-15T15:11:00Z,SEDENTARY,Fitbit App
2022-06-15T15:14:00Z,SEDENTARY,Fitbit App
2022-06-15T15:21:00Z,SEDENTARY,Fitbit App
2022-06-15T15:47:00Z,SEDENTARY,Fitbit App
2022-06-15T16:00:00Z,SEDENTARY,Fitbit App
2022-06-15T16:01:00Z,SEDENTARY,Fitbit App
2022-06-15T16:02:00Z,SEDENTARY,Fitbit App
2022-06-15T16:03:00Z,SEDENTARY,Fitbit App
2022-06-15T16:04:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T16:05:00Z,SEDENTARY,Fitbit App
2022-06-15T16:06:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T16:07:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T16:08:00Z,SEDENTARY,Fitbit App
2022-06-15T16:09:00Z,SEDENTARY,Fitbit App
2022-06-15T16:10:00Z,SEDENTARY,Fitbit App
2022-06-15T16:13:00Z,SEDENTARY,Fitbit App
2022-06-15T16:14:00Z,SEDENTARY,Fitbit App
2022-06-15T16:15:00Z,SEDENTARY,Fitbit App
2022-06-15T16:17:00Z,SEDENTARY,Fitbit App
2022-06-15T16:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T16:21:00Z,SEDENTARY,Fitbit App
2022-06-15T16:22:00Z,SEDENTARY,Fitbit App
2022-06-15T16:23:00Z,SEDENTARY,Fitbit App
2022-06-15T16:24:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T16:25:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T16:26:00Z,SEDENTARY,Fitbit App
2022-06-15T16:27:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T16:28:00Z,SEDENTARY,Fitbit App
2022-06-15T16:29:00Z,SEDENTARY,Fitbit App
2022-06-15T16:30:00Z,SEDENTARY,Fitbit App
2022-06-15T16:31:00Z,SEDENTARY,Fitbit App
2022-06-15T16:32:00Z,SEDENTARY,Fitbit App
2022-06-15T16:33:00Z,SEDENTARY,Fitbit App
2022-06-15T16:34:00Z,SEDENTARY,Fitbit App
2022-06-15T16:35:00Z,SEDENTARY,Fitbit App
2022-06-15T16:36:00Z,SEDENTARY,Fitbit App
2022-06-15T16:37:00Z,SEDENTARY,Fitbit App
2022-06-15T16:38:00Z,SEDENTARY,Fitbit App
2022-06-15T16:39:00Z,SEDENTARY,Fitbit App
2022-06-15T16:40:00Z,SEDENTARY,Fitbit App
2022-06-15T16:41:00Z,SEDENTARY,Fitbit App
2022-06-15T16:42:00Z,SEDENTARY,Fitbit App
2022-06-15T16:43:00Z,SEDENTARY,Fitbit App
2022-06-15T16:44:00Z,SEDENTARY,Fitbit App
2022-06-15T16:45:00Z,SEDENTARY,Fitbit App
2022-06-15T16:46:00Z,SEDENTARY,Fitbit App
2022-06-15T16:47:00Z,SEDENTARY,Fitbit App
2022-06-15T16:48:00Z,SEDENTARY,Fitbit App
2022-06-15T16:49:00Z,SEDENTARY,Fitbit App
2022-06-15T16:50:00Z,SEDENTARY,Fitbit App
2022-06-15T16:51:00Z,SEDENTARY,Fitbit App
2022-06-15T16:52:00Z,SEDENTARY,Fitbit App
2022-06-15T16:53:00Z,SEDENTARY,Fitbit App
2022-06-15T16:54:00Z,SEDENTARY,Fitbit App
2022-06-15T16:55:00Z,SEDENTARY,Fitbit App
2022-06-15T16:56:00Z,SEDENTARY,Fitbit App
2022-06-15T16:57:00Z,SEDENTARY,Fitbit App
2022-06-15T16:58:00Z,SEDENTARY,Fitbit App
2022-06-15T16:59:00Z,SEDENTARY,Fitbit App
2022-06-15T17:00:00Z,SEDENTARY,Fitbit App
2022-06-15T17:01:00Z,SEDENTARY,Fitbit App
2022-06-15T17:02:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:03:00Z,SEDENTARY,Fitbit App
2022-06-15T17:04:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:05:00Z,SEDENTARY,Fitbit App
2022-06-15T17:06:00Z,SEDENTARY,Fitbit App
2022-06-15T17:07:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:08:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:09:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:11:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:12:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T17:13:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T17:14:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T17:15:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:16:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:18:00Z,SEDENTARY,Fitbit App
2022-06-15T17:19:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T17:20:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T17:21:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:22:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T17:23:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:24:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:25:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:26:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:27:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:28:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:29:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:30:00Z,SEDENTARY,Fitbit App
2022-06-15T17:31:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:32:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:34:00Z,SEDENTARY,Fitbit App
2022-06-15T17:35:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:36:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:37:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:38:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:39:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:40:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:41:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:44:00Z,SEDENTARY,Fitbit App
2022-06-15T17:45:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:46:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:47:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:48:00Z,SEDENTARY,Fitbit App
2022-06-15T17:49:00Z,SEDENTARY,Fitbit App
2022-06-15T17:50:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:51:00Z,SEDENTARY,Fitbit App
2022-06-15T17:52:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:53:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:54:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:55:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:56:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:57:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T17:58:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T17:59:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:00:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:01:00Z,SEDENTARY,Fitbit App
2022-06-15T18:02:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:03:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:04:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:05:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:06:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:07:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:08:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:09:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:11:00Z,SEDENTARY,Fitbit App
2022-06-15T18:12:00Z,SEDENTARY,Fitbit App
2022-06-15T18:13:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:14:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:15:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:20:00Z,SEDENTARY,Fitbit App
2022-06-15T18:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:22:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:23:00Z,SEDENTARY,Fitbit App
2022-06-15T18:24:00Z,SEDENTARY,Fitbit App
2022-06-15T18:25:00Z,SEDENTARY,Fitbit App
2022-06-15T18:26:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:27:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:28:00Z,SEDENTARY,Fitbit App
2022-06-15T18:29:00Z,SEDENTARY,Fitbit App
2022-06-15T18:30:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:31:00Z,SEDENTARY,Fitbit App
2022-06-15T18:32:00Z,SEDENTARY,Fitbit App
2022-06-15T18:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:34:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:35:00Z,SEDENTARY,Fitbit App
2022-06-15T18:36:00Z,SEDENTARY,Fitbit App
2022-06-15T18:37:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:38:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:39:00Z,SEDENTARY,Fitbit App
2022-06-15T18:40:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:41:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:44:00Z,SEDENTARY,Fitbit App
2022-06-15T18:45:00Z,SEDENTARY,Fitbit App
2022-06-15T18:46:00Z,SEDENTARY,Fitbit App
2022-06-15T18:47:00Z,SEDENTARY,Fitbit App
2022-06-15T18:48:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:49:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:50:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T18:51:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:52:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:53:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T18:54:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T18:55:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:56:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:57:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:58:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T18:59:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:00:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:01:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:02:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:03:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:04:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:05:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:06:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:07:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:08:00Z,SEDENTARY,Fitbit App
2022-06-15T19:09:00Z,SEDENTARY,Fitbit App
2022-06-15T19:10:00Z,SEDENTARY,Fitbit App
2022-06-15T19:11:00Z,SEDENTARY,Fitbit App
2022-06-15T19:12:00Z,SEDENTARY,Fitbit App
2022-06-15T19:13:00Z,SEDENTARY,Fitbit App
2022-06-15T19:14:00Z,SEDENTARY,Fitbit App
2022-06-15T19:15:00Z,SEDENTARY,Fitbit App
2022-06-15T19:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:18:00Z,SEDENTARY,Fitbit App
2022-06-15T19:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:20:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:22:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:23:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:24:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:25:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:26:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:27:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:28:00Z,VERY_ACTIVE,Fitbit App
2022-06-15T19:29:00Z,SEDENTARY,Fitbit App
2022-06-15T19:31:00Z,SEDENTARY,Fitbit App
2022-06-15T19:32:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:34:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:35:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:36:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:37:00Z,SEDENTARY,Fitbit App
2022-06-15T19:38:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:39:00Z,MODERATELY_ACTIVE,Fitbit App
2022-06-15T19:40:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:41:00Z,SEDENTARY,Fitbit App
2022-06-15T19:42:00Z,SEDENTARY,Fitbit App
2022-06-15T19:43:00Z,SEDENTARY,Fitbit App
2022-06-15T19:44:00Z,SEDENTARY,Fitbit App
2022-06-15T19:47:00Z,SEDENTARY,Fitbit App
2022-06-15T19:49:00Z,SEDENTARY,Fitbit App
2022-06-15T19:50:00Z,SEDENTARY,Fitbit App
2022-06-15T19:51:00Z,SEDENTARY,Fitbit App
2022-06-15T19:52:00Z,LIGHTLY_ACTIVE,Fitbit App
2022-06-15T19:53:00Z,SEDENTARY,Fitbit App
2022-06-15T19:54:00Z,SEDENTARY,Fitbit App
2022-06-15T19:55:00Z,SEDENTARY,Fitbit App
2022-06-15T19:56:00Z,SEDENTARY,Fitbit App
2022-06-15T19:57:00Z,SEDENTARY,Fitbit App
2022-06-15T19:58:00Z,SEDENTARY,Fitbit App
2022-06-15T19:59:00Z,SEDENTARY,Fitbit App
2022-06-15T20:00:00Z,SEDENTARY,Fitbit App
2022-06-15T20:01:00Z,SEDENTARY,Fitbit App
2022-06-15T20:02:00Z,SEDENTARY,Fitbit App
2022-06-15T20:03:00Z,SEDENTARY,Fitbit App
2022-06-15T20:04:00Z,SEDENTARY,Fitbit App
2022-06-15T20:05:00Z,SEDENTARY,Fitbit App
2022-06-15T20:06:00Z,SEDENTARY,Fitbit App
2022-06-15T20:07:00Z,SEDENTARY,Fitbit App
2022-06-15T20:08:00Z,SEDENTARY,Fitbit App
2022-06-15T20:09:00Z,SEDENTARY,Fitbit App
2022-06-15T20:10:00Z,SEDENTARY,Fitbit App
2022-06-15T20:11:00Z,SEDENTARY,Fitbit App
2022-06-15T20:12:00Z,SEDENTARY,Fitbit App
2022-06-15T20:13:00Z,SEDENTARY,Fitbit App
2022-06-15T20:14:00Z,SEDENTARY,Fitbit App
